Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
jets,word,8.081,w,comic sans,1,ComicSans7.jpeg,experimental,A,,,,,0,39,39,6,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7199940819991753,96.6772555839998,None,96.6772555839998,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
bore,word,8.188,w,georgia,2,Georgia39.jpeg,experimental,A,,,,,0,40,40,38,,,,,,,,,,,,,,,,,,,,,,,w,1,0.91616187398904,97.42838637500245,None,None,None,97.42838637500245,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
buwl,non-word,None,n,comic sans,1,ComicSans43.jpeg,experimental,A,,,,,0,41,41,42,,,,,,,,,,,,,,,,,,,,,,,n,1,0.712678499010508,98.37827087500773,None,98.37827087500773,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
sore,word,8.118,w,comic sans,1,ComicSans17.jpeg,experimental,A,,,,,0,42,42,16,,,,,,,,,,,,,,,,,,,,,,,w,1,0.81487424900115,99.12848483400012,None,99.12848483400012,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
bean,word,8.182,w,georgia,2,Georgia36.jpeg,experimental,A,,,,,0,43,43,35,,,,,,,,,,,,,,,,,,,,,,,w,1,1.1662989989999915,99.97861758399813,None,None,None,99.97861758399813,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
hesk,non-word,None,n,comic sans,1,ComicSans47.jpeg,experimental,A,,,,,0,44,44,46,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8722792909975396,101.17894370900467,None,101.17894370900467,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
tent,word,8.067,w,comic sans,1,ComicSans3.jpeg,experimental,A,,,,,0,45,45,2,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7079082910058787,102.09657083400816,None,102.09657083400816,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
dash,word,8.139,w,georgia,2,Georgia23.jpeg,experimental,A,,,,,0,46,46,22,,,,,,,,,,,,,,,,,,,,,,,w,1,0.792680291007855,102.84666599999764,None,None,None,102.84666599999764,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
abem,non-word,None,n,comic sans,1,ComicSans41.jpeg,experimental,A,,,,,0,47,47,40,,,,,,,,,,,,,,,,,,,,,,,n,1,0.739605875001871,103.67947937500139,None,103.67947937500139,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
lamb,word,8.144,w,georgia,2,Georgia29.jpeg,experimental,A,,,,,0,48,48,28,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7637588740035426,104.463215959011,None,None,None,104.463215959011,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
daxy,non-word,None,n,georgia,2,Georgia78.jpeg,experimental,A,,,,,0,49,49,77,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8006942909996724,105.26288337500591,None,None,None,105.26288337500591,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
hers,word,8.142,w,georgia,2,Georgia25.jpeg,experimental,A,,,,,0,50,50,24,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9955310409859521,106.09589720900112,None,None,None,106.09589720900112,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
keen,word,8.144,w,georgia,2,Georgia28.jpeg,experimental,A,,,,,0,51,51,27,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6801777910004603,107.1266031670093,None,None,None,107.1266031670093,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
bets,word,8.085,w,comic sans,1,ComicSans8.jpeg,experimental,A,,,,,0,52,52,7,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7702778329985449,107.84627125000407,None,107.84627125000407,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
