Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
gosh,word,8.054,w,comic sans,1,ComicSans1.jpeg,experimental,A,,,,,0,26,26,0,,,,,,,,,,,,,,,,,,,,,,,w,1,0.5275273330044001,91.08378575000097,None,91.08378575000097,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
atom,word,8.134,w,georgia,2,Georgia21.jpeg,experimental,A,,,,,0,27,27,20,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9998151659965515,91.6502395409916,None,None,None,91.6502395409916,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
flea,word,8.144,w,georgia,2,Georgia27.jpeg,experimental,A,,,,,0,28,28,26,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6375492500083055,92.68327562499326,None,None,None,92.68327562499326,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
ture,non-word,None,n,comic sans,1,ComicSans46.jpeg,experimental,A,,,,,0,29,29,45,,,,,,,,,,,,,,,,,,,,,,,n,1,1.2743445000087377,93.36707083298825,None,93.36707083298825,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
sail,word,8.175,w,georgia,2,Georgia35.jpeg,experimental,A,,,,,0,30,30,34,,,,,,,,,,,,,,,,,,,,,,,w,1,1.2156872500199825,94.68502270799945,None,None,None,94.68502270799945,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
bore,word,8.188,w,georgia,2,Georgia39.jpeg,experimental,A,,,,,0,31,31,38,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6447789989761077,95.93374337500427,None,None,None,95.93374337500427,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
otey,non-word,None,n,georgia,2,Georgia63.jpeg,experimental,A,,,,,0,32,32,62,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7609146249887999,96.61786450000363,None,None,None,96.61786450000363,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
muin,non-word,None,n,georgia,2,Georgia67.jpeg,experimental,A,,,,,0,33,33,66,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6846508749877103,97.41875483299373,None,None,None,97.41875483299373,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
yarl,non-word,None,n,georgia,2,Georgia79.jpeg,experimental,A,,,,,0,34,34,78,,,,,,,,,,,,,,,,,,,,,,,n,1,0.740693873987766,98.13325016599265,None,None,None,98.13325016599265,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
gour,non-word,None,n,georgia,2,Georgia71.jpeg,experimental,A,,,,,0,35,35,70,,,,,,,,,,,,,,,,,,,,,,,n,1,1.819569290993968,98.91717979099485,None,None,None,98.91717979099485,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
aged,word,8.142,w,georgia,2,Georgia24.jpeg,experimental,A,,,,,0,36,36,23,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9663238739885855,100.76805362501182,None,None,None,100.76805362501182,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
lamb,word,8.144,w,georgia,2,Georgia29.jpeg,experimental,A,,,,,0,37,37,28,,,,,,,,,,,,,,,,,,,,,,,w,1,0.5826018750085495,101.76732345798519,None,None,None,101.76732345798519,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
dash,word,8.139,w,georgia,2,Georgia23.jpeg,experimental,A,,,,,0,38,38,22,,,,,,,,,,,,,,,,,,,,,,,w,1,0.605340417008847,102.38547358301003,None,None,None,102.38547358301003,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
loth,non-word,None,n,comic sans,1,ComicSans56.jpeg,experimental,A,,,,,0,39,39,55,,,,,,,,,,,,,,,,,,,,,,,w,0,1.1083969580067787,103.03438649998861,None,103.03438649998861,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
tent,word,8.067,w,comic sans,1,ComicSans3.jpeg,experimental,A,,,,,0,40,40,2,,,,,,,,,,,,,,,,,,,,,,,w,1,1.437904124992201,104.18647687500925,None,104.18647687500925,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
rine,non-word,None,n,comic sans,1,ComicSans48.jpeg,experimental,A,,,,,0,41,41,47,,,,,,,,,,,,,,,,,,,,,,,n,1,1.1966855830105487,105.66854658300872,None,105.66854658300872,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
lace,word,8.097,w,comic sans,1,ComicSans11.jpeg,experimental,A,,,,,0,42,42,10,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9152055409795139,106.90002775000175,None,106.90002775000175,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
tave,non-word,None,n,georgia,2,Georgia65.jpeg,experimental,A,,,,,0,43,43,64,,,,,,,,,,,,,,,,,,,,,,,n,1,0.881409417022951,107.85013520799112,None,None,None,107.85013520799112,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
hesk,non-word,None,n,comic sans,1,ComicSans47.jpeg,experimental,A,,,,,0,44,44,46,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7900775830203202,108.76622566601145,None,108.76622566601145,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
prop,word,8.112,w,comic sans,1,ComicSans15.jpeg,experimental,A,,,,,0,45,45,14,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6586763740051538,109.59990841598483,None,109.59990841598483,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
coil,word,8.127,w,comic sans,1,ComicSans20.jpeg,experimental,A,,,,,0,46,46,19,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7104995830159169,110.30202208299306,None,110.30202208299306,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
