Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
plaw,non-word,None,n,georgia,2,Georgia52.jpeg,experimental,B,,,,,0,49,49,51,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9168263330002446,135.90073679200032,None,None,None,135.90073679200032,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
aged,word,8.142,w,comic sans,1,ComicSans24.jpeg,experimental,B,,,,,0,50,50,23,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6801824579997628,136.8498335000004,None,136.8498335000004,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
hesk,non-word,None,n,georgia,2,Georgia47.jpeg,experimental,B,,,,,0,51,51,46,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0545344580004894,137.5680419170003,None,None,None,137.5680419170003,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
memo,word,8.108,w,georgia,2,Georgia12.jpeg,experimental,B,,,,,0,52,52,11,,,,,,,,,,,,,,,,,,,,,,,w,1,0.677045540999643,138.66790400000082,None,None,None,138.66790400000082,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
hers,word,8.142,w,comic sans,1,ComicSans25.jpeg,experimental,B,,,,,0,53,53,24,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8408016239991412,139.38287687500087,None,139.38287687500087,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
juck,non-word,None,n,comic sans,1,ComicSans72.jpeg,experimental,B,,,,,0,54,54,71,,,,,,,,,,,,,,,,,,,,,,,n,1,0.711095583000315,140.26804129200082,None,140.26804129200082,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
hobs,non-word,None,n,comic sans,1,ComicSans66.jpeg,experimental,B,,,,,0,55,55,65,,,,,,,,,,,,,,,,,,,,,,,w,0,0.816513708000457,141.01689295900087,None,141.01689295900087,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
muin,non-word,None,n,comic sans,1,ComicSans67.jpeg,experimental,B,,,,,0,56,56,66,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6955854160005401,141.867628125,None,141.867628125,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
dash,word,8.139,w,comic sans,1,ComicSans23.jpeg,experimental,B,,,,,0,57,57,22,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7194137079995926,142.60073787500005,None,142.60073787500005,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
gour,non-word,None,n,comic sans,1,ComicSans71.jpeg,experimental,B,,,,,0,58,58,70,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7456690420003724,143.36601425000026,None,143.36601425000026,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
bore,word,8.188,w,comic sans,1,ComicSans39.jpeg,experimental,B,,,,,0,59,59,38,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7682207080006265,144.1497295420004,None,144.1497295420004,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
howl,word,8.079,w,georgia,2,Georgia6.jpeg,experimental,B,,,,,0,60,60,5,,,,,,,,,,,,,,,,,,,,,,,w,1,1.0350516669996068,144.94916987500073,None,None,None,144.94916987500073,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
soda,word,8.122,w,georgia,2,Georgia18.jpeg,experimental,B,,,,,0,61,61,17,,,,,,,,,,,,,,,,,,,,,,,w,1,0.5826361250001355,146.01729412500026,None,None,None,146.01729412500026,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
yell,word,8.108,w,georgia,2,Georgia13.jpeg,experimental,B,,,,,0,62,62,12,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6369733329993323,146.63269241700073,None,None,None,146.63269241700073,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
woad,non-word,None,n,georgia,2,Georgia55.jpeg,experimental,B,,,,,0,63,63,54,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6958484159995351,147.29966004200014,None,None,None,147.29966004200014,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
tave,non-word,None,n,comic sans,1,ComicSans65.jpeg,experimental,B,,,,,0,64,64,64,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8953537500001403,148.0330630840008,None,148.0330630840008,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
erks,non-word,None,n,georgia,2,Georgia49.jpeg,experimental,B,,,,,0,65,65,48,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5994263739994494,148.96625558400046,None,None,None,148.96625558400046,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
cone,word,8.72,w,comic sans,1,ComicSans34.jpeg,experimental,B,,,,,0,66,66,33,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7168497490001755,149.60221691700008,None,149.60221691700008,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
