Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
poet,word,8.147,w,georgia,2,Georgia31.jpeg,experimental,A,,,,,0,43,43,30,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6302474580006674,101.18476016601198,None,None,None,101.18476016601198,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
rine,non-word,None,n,comic sans,1,ComicSans48.jpeg,experimental,A,,,,,0,44,44,47,,,,,,,,,,,,,,,,,,,,,,,w,0,1.2826535839994904,101.85151533300814,None,101.85151533300814,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
gips,non-word,None,n,georgia,2,Georgia75.jpeg,experimental,A,,,,,0,45,45,74,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7931101249996573,103.16887433300144,None,None,None,103.16887433300144,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
joet,non-word,None,n,georgia,2,Georgia61.jpeg,experimental,A,,,,,0,46,46,60,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6265379590040538,104.00109770800918,None,None,None,104.00109770800918,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
wald,non-word,None,n,georgia,2,Georgia80.jpeg,experimental,A,,,,,0,47,47,79,,,,,,,,,,,,,,,,,,,,,,,n,1,1.4428381250036182,104.66742729100224,None,None,None,104.66742729100224,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
span,word,8.134,w,georgia,2,Georgia22.jpeg,experimental,A,,,,,0,48,48,21,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9952674999949522,106.15216083300766,None,None,None,106.15216083300766,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
ture,non-word,None,n,comic sans,1,ComicSans46.jpeg,experimental,A,,,,,0,49,49,45,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8216802910028491,107.18553591601085,None,107.18553591601085,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
peam,non-word,None,n,georgia,2,Georgia64.jpeg,experimental,A,,,,,0,50,50,63,,,,,,,,,,,,,,,,,,,,,,,n,1,1.1892484580021119,108.05249150001328,None,None,None,108.05249150001328,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
dash,word,8.139,w,georgia,2,Georgia23.jpeg,experimental,A,,,,,0,51,51,22,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7058385419950355,109.28536883300694,None,None,None,109.28536883300694,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
juck,non-word,None,n,georgia,2,Georgia72.jpeg,experimental,A,,,,,0,52,52,71,,,,,,,,,,,,,,,,,,,,,,,n,1,1.3410081670008367,110.03373954100243,None,None,None,110.03373954100243,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
prop,word,8.112,w,comic sans,1,ComicSans15.jpeg,experimental,A,,,,,0,53,53,14,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9003376250038855,111.418540166007,None,111.418540166007,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
