Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
soda,word,8.122,w,comic sans,1,ComicSans18.jpeg,experimental,A,,,,,0,41,41,17,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6309457079987624,103.35979649999899,None,103.35979649999899,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
gelp,non-word,None,n,comic sans,1,ComicSans58.jpeg,experimental,A,,,,,0,42,42,57,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7678398329990159,104.02797404199919,None,104.02797404199919,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
stem,word,8.183,w,georgia,2,Georgia37.jpeg,experimental,A,,,,,0,43,43,36,,,,,,,,,,,,,,,,,,,,,,,n,0,1.8682968749999418,104.82624037499954,None,None,None,104.82624037499954,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
faza,non-word,None,n,comic sans,1,ComicSans51.jpeg,experimental,A,,,,,0,44,44,50,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7175122080006986,106.72622041700015,None,106.72622041700015,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
hers,word,8.142,w,georgia,2,Georgia25.jpeg,experimental,A,,,,,0,45,45,24,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7520787909998035,107.47726458299985,None,None,None,107.47726458299985,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
powl,non-word,None,n,comic sans,1,ComicSans60.jpeg,experimental,A,,,,,0,46,46,59,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9898960829996213,108.2611311669989,None,108.2611311669989,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
coil,word,8.127,w,comic sans,1,ComicSans20.jpeg,experimental,A,,,,,0,47,47,19,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7734347490004438,109.29201266699965,None,109.29201266699965,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
juck,non-word,None,n,georgia,2,Georgia72.jpeg,experimental,A,,,,,0,48,48,71,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8373179160007567,110.10973795799873,None,None,None,110.10973795799873,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
ears,word,8.15,w,georgia,2,Georgia32.jpeg,experimental,A,,,,,0,49,49,31,,,,,,,,,,,,,,,,,,,,,,,w,1,0.5381888749998325,110.99471891699977,None,None,None,110.99471891699977,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
soan,non-word,None,n,georgia,2,Georgia62.jpeg,experimental,A,,,,,0,50,50,61,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6171875,111.57604625000022,None,None,None,111.57604625000022,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
plaw,non-word,None,n,comic sans,1,ComicSans52.jpeg,experimental,A,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7574536240008456,112.22784541699912,None,112.22784541699912,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
gosh,word,8.054,w,comic sans,1,ComicSans1.jpeg,experimental,A,,,,,0,52,52,0,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6070257909996144,113.02690762499878,None,113.02690762499878,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
yarl,non-word,None,n,georgia,2,Georgia79.jpeg,experimental,A,,,,,0,53,53,78,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5616557499997725,113.67705391699928,None,None,None,113.67705391699928,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
chow,word,8.11,w,comic sans,1,ComicSans14.jpeg,experimental,A,,,,,0,54,54,13,,,,,,,,,,,,,,,,,,,,,,,w,1,0.684174248999625,114.27683170799901,None,114.27683170799901,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
tave,non-word,None,n,georgia,2,Georgia65.jpeg,experimental,A,,,,,0,55,55,64,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5993617909989553,114.99295758299922,None,None,None,114.99295758299922,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
buwl,non-word,None,n,comic sans,1,ComicSans43.jpeg,experimental,A,,,,,0,56,56,42,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5755372069997975,115.62790558300003,None,115.62790558300003,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
muin,non-word,None,n,georgia,2,Georgia67.jpeg,experimental,A,,,,,0,57,57,66,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5534251660010341,116.24470783299876,None,None,None,116.24470783299876,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
aged,word,8.142,w,georgia,2,Georgia24.jpeg,experimental,A,,,,,0,58,58,23,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6165692070007935,116.84423108299961,None,None,None,116.84423108299961,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
lace,word,8.097,w,comic sans,1,ComicSans11.jpeg,experimental,A,,,,,0,59,59,10,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7881965830001718,117.4928303329998,None,117.4928303329998,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
heas,non-word,None,n,georgia,2,Georgia73.jpeg,experimental,A,,,,,0,60,60,72,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6401687500001572,118.3261412920001,None,None,None,118.3261412920001,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
nets,word,8.142,w,georgia,2,Georgia26.jpeg,experimental,A,,,,,0,61,61,25,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7251033319989801,119.00926799999979,None,None,None,119.00926799999979,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
gips,non-word,None,n,georgia,2,Georgia75.jpeg,experimental,A,,,,,0,62,62,74,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6500000830001227,119.77689291699971,None,None,None,119.77689291699971,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
hesk,non-word,None,n,comic sans,1,ComicSans47.jpeg,experimental,A,,,,,0,63,63,46,,,,,,,,,,,,,,,,,,,,,,,n,1,1.2601760830002604,120.45953341699897,None,120.45953341699897,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
sore,word,8.118,w,comic sans,1,ComicSans17.jpeg,experimental,A,,,,,0,64,64,16,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6074381660000654,121.76086020799994,None,121.76086020799994,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
flea,word,8.144,w,georgia,2,Georgia27.jpeg,experimental,A,,,,,0,65,65,26,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7915131249992555,122.40960404199905,None,None,None,122.40960404199905,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
flut,non-word,None,n,georgia,2,Georgia69.jpeg,experimental,A,,,,,0,66,66,68,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7509409569993295,123.24487566700009,None,None,None,123.24487566700009,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
